River;Reach (Untersuchungsstelle);Flow regime;Date of MZB-Sampling;Field-Screening identification;Laboratory identification;Water depth [cm] MEAN;Water depth [cm] MEDIAN;Water depth [cm] SD;Flow velocity [v60, cm/s] MEAN;Flow velocity [v60, cm/s] MEDIAN;Flow velocity [v60, cm/s] SD;Distance to water edge [m] MEAN;Distance to water edge [m] MEDIAN;Distance to water edge [m] SD;Clogging (1-3) MEAN;Clogging (1-3) MEDIAN;Clogging (1-3) SD;Number of substrate types;mobile blocks > 250 mm in %;natural and artificial surfaces  > 250 mm in %;larger mineral sediments 250 mm > x > 25 mm in %;gravel 25 mm > x > 2.5 mm in %;sand and silt < 2.5 mm in %;Algae cover (1-3) MEAN;Algae cover (1-3) MEDIAN;Algae cover (1-3) SD;Moos cover (1-3) MEAN;Moos cover (1-3) MEDIAN;Moos cover (1-3) SD;CPOM cover (1-3) MEAN;CPOM cover (1-3) MEDIAN;CPOM cover (1-3) SD;Conductivity [μs/cm] MEAN;Conductivity [μs/cm] MEDIAN;Conductivity [μs/cm] SD;Water T [°C] MEAN ;Water T [°C] MEDIAN;Water T [°C] SD;Oxygen [mg/l] MEAN ;Oxygen [mg/l] MEDIAN;Oxygen [mg/l] SD;pH [-] MEAN ;pH [-] MEDIAN ;pH [-] SD ;Turbidity [NTU] MEAN ;Turbidity [NTU] MEDIAN ;Turbidity [NTU] SD;Category Flow velocity (5 Bewohnbarkeits-klasse) MEAN;Category Flow velocity (5 Bewohnbarkeits-klasse) MEDIAN;Category Flow velocity (5 Bewohnbarkeits-klasse) SD;Category substrate (5 Bewohnbarkeits-klasse) MEAN;Category substrate (5 Bewohnbarkeits-klasse) MEDIAN;Category substrate (5 Bewohnbarkeits-klasse) SD
Ticino;T3;Hydropeaking;06.03.2022;X;;34.00;30.50;20.78;31.83;15.50;44.03;5.84;2.88;7.04;1.00;1.00;0.00;2.00;8.33;0.00;91.67;0.00;0.00;1.33;1.00;0.47;1.00;1.00;0.00;1.00;1.00;0.00;408.33;411.00;5.25;8.30;8.10;0.67;10.94;10.91;0.11;8.86;8.26;0.86;1.30;0.55;1.06;2.83;3.00;1.34;4.08;4.00;0.28
Sitter;S1;Hydropeaking;21.03.2022;X;X;46.92;53.00;27.61;32.92;23.00;35.12;5.60;5.43;4.23;1.00;1.00;0.00;2.00;0.00;0.00;91.67;8.33;0.00;1.75;2.00;0.43;1.00;1.00;0.00;1.08;1.00;0.28;347.33;345.00;4.03;6.60;6.70;0.22;12.40;12.52;0.30;8.55;8.56;0.03;1.93;1.79;0.28;3.25;3.50;1.74;3.92;4.00;0.28
Sitter;S2;Hydropeaking;21.03.2022;X;X;51.67;50.50;25.56;30.08;20.50;30.56;4.98;4.68;3.62;1.00;1.00;0.00;3.00;8.33;0.00;75.00;16.67;0.00;2.00;2.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;367.67;365.00;3.77;7.73;7.70;0.12;13.43;13.48;0.12;8.74;8.74;0.02;1.49;1.41;0.14;3.25;3.00;1.53;3.92;4.00;0.49
Sitter;SR;Residual flow;22.03.2022;X;X;44.67;40.00;24.00;25.00;18.50;23.51;2.49;2.18;2.05;1.00;1.00;0.00;2.00;0.00;0.00;91.67;8.33;0.00;2.00;2.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;439.33;441.00;5.44;4.60;4.50;0.54;13.26;13.25;0.10;8.62;8.60;0.04;1.04;1.03;0.01;3.42;3.00;1.38;3.92;4.00;0.28
Sitter;S3;Hydropeaking;22.03.2022;X;;31.42;35.50;12.44;28.42;17.50;25.01;6.98;7.15;6.01;1.00;1.00;0.00;2.00;0.00;0.00;91.67;8.33;0.00;2.08;2.00;0.76;1.00;1.00;0.00;1.00;1.00;0.00;375.33;378.00;4.50;10.20;10.10;0.14;13.67;13.75;0.13;8.86;8.84;0.02;1.38;1.28;0.23;3.67;3.00;1.25;3.92;4.00;0.28
Sitter;S4;Hydropeaking;22.03.2022;X;;43.58;39.50;22.50;40.58;37.00;35.17;6.45;4.53;5.50;1.00;1.00;0.00;3.00;0.00;16.67;75.00;8.33;0.00;1.50;1.00;0.76;1.00;1.00;0.00;1.00;1.00;0.00;387.67;387.00;0.94;8.80;8.80;0.16;12.45;12.51;0.11;8.84;8.84;0.00;1.74;1.63;0.20;3.42;4.00;1.55;3.42;4.00;1.11
Thur;S5;Hydropeaking;23.03.2022;X;X;39.75;40.50;19.41;38.17;35.50;26.49;11.93;12.58;6.94;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.08;1.00;0.28;1.00;1.00;0.00;1.00;1.00;0.00;396.33;398.00;3.09;6.47;6.30;0.24;12.52;12.47;0.19;8.50;8.47;0.04;1.18;1.17;0.09;4.08;4.50;0.95;4.00;4.00;0.00
Sitter;S6;Hydropeaking;23.03.2022;X;;38.75;36.00;25.09;34.67;20.50;36.00;8.52;7.48;6.69;1.00;1.00;0.00;3.00;0.00;8.33;58.33;33.33;0.00;2.25;2.00;0.60;1.08;1.00;0.28;1.08;1.00;0.28;399.67;399.00;3.30;9.07;9.10;0.12;13.42;13.44;0.04;8.79;8.78;0.03;1.85;1.80;0.10;3.33;3.00;1.31;3.42;4.00;0.86
Saane;SA1;Hydropeaking;24.03.2022;X;X;31.42;35.00;16.57;45.42;44.50;36.04;6.81;7.30;4.35;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;2.25;2.00;0.43;1.00;1.00;0.00;1.00;1.00;0.00;436.67;433.00;6.65;8.33;8.50;0.70;12.92;12.88;0.37;8.40;8.43;0.04;1.86;1.78;0.20;3.83;4.50;1.46;4.00;4.00;0.00
Saane;SAR;Residual flow;25.03.2022;X;X;29.42;28.50;14.22;34.33;36.00;22.72;5.84;6.00;4.25;1.00;1.00;0.00;3.00;8.33;0.00;83.33;8.33;0.00;2.00;2.00;0.58;1.08;1.00;0.28;1.00;1.00;0.00;444.33;447.00;4.50;6.13;6.50;0.59;12.31;12.26;0.22;8.47;8.43;0.06;1.96;1.95;0.02;3.92;5.00;1.50;4.00;4.00;0.41
Saane;SA2;Hydropeaking;25.03.2022;X;X;37.25;39.00;20.92;46.42;48.00;34.55;6.21;6.70;4.08;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;2.00;2.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;435.33;435.00;2.05;7.53;7.60;0.25;13.38;13.46;0.24;8.22;8.22;0.06;2.43;2.45;0.07;3.75;4.00;1.42;4.00;4.00;0.00
Saane;SA3;Hydropeaking;26.03.2022;X;;34.75;35.50;17.78;39.25;32.50;36.18;8.11;8.75;5.89;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;2.25;2.00;0.60;1.00;1.00;0.00;1.00;1.00;0.00;442.33;441.00;1.89;6.77;6.90;0.66;12.40;12.28;0.19;8.45;8.22;0.33;1.85;1.83;0.09;3.50;4.00;1.61;4.00;4.00;0.00
Saane;SA4;Hydropeaking;26.03.2022;X;;43.25;35.50;29.72;43.00;44.00;33.44;6.68;7.08;5.06;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.42;1.00;0.64;1.00;1.00;0.00;1.00;1.00;0.00;488.33;486.00;4.03;8.90;8.90;0.24;13.24;13.18;0.33;8.66;8.67;0.06;1.78;1.85;0.45;3.58;4.00;1.61;4.00;4.00;0.00
Saane;SA5;Residual flow;26.03.2022;X;;35.33;41.00;16.90;41.00;39.00;28.01;7.38;7.48;5.83;1.00;1.00;0.00;2.00;0.00;0.00;91.67;8.33;0.00;2.58;3.00;0.49;1.00;1.00;0.00;1.00;1.00;0.00;440.33;441.00;2.49;6.77;6.80;0.29;11.29;11.35;0.09;8.52;8.47;0.15;3.53;3.32;0.33;4.25;5.00;0.92;3.92;4.00;0.28
Saane;SA6;Hydropeaking;27.03.2022;X;X;45.08;44.00;27.68;50.42;51.00;37.33;10.57;11.65;7.25;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.75;2.00;0.43;1.00;1.00;0.00;1.00;1.00;0.00;465.00;466.00;2.94;6.20;6.00;0.51;12.24;12.22;0.07;8.45;8.44;0.02;1.89;1.93;0.07;3.83;4.00;1.40;4.00;4.00;0.00
Saane;SA7;Hydropeaking;27.03.2022;X;;40.17;39.00;24.00;39.25;33.50;30.39;10.10;12.33;7.48;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;2.00;2.00;0.00;1.33;1.00;0.75;1.00;1.00;0.00;471.67;472.00;2.05;9.03;9.00;0.53;13.82;13.80;0.05;8.69;8.67;0.06;1.96;1.86;0.27;3.67;4.00;1.43;4.00;4.00;0.00
Landquart;L1;Hydropeaking;10.04.2022;X;X;44.25;46.00;11.39;62.33;66.00;12.89;3.40;3.10;1.66;3.00;3.00;0.00;3.00;66.67;0.00;25.00;8.33;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;288.33;287.00;2.62;7.43;7.50;1.31;9.37;8.73;1.41;8.67;8.48;0.38;134.00;123.00;39.56;4.83;5.00;0.37;4.58;5.00;0.64
Landquart;LR;Residual flow;11.04.2022;X;X;46.25;50.00;23.56;48.25;43.00;33.53;3.44;3.25;2.05;1.08;1.00;0.28;2.00;25.00;0.00;75.00;0.00;0.00;1.42;1.00;0.49;1.00;1.00;0.00;1.00;1.00;0.00;343.67;345.00;3.40;4.90;4.60;1.04;11.41;11.22;0.26;8.46;8.42;0.05;3.50;3.15;0.52;4.00;5.00;1.47;4.25;4.00;0.43
Landquart;L2;Hydropeaking;11.04.2022;X;X;46.58;53.00;19.30;39.67;37.00;34.24;5.71;5.88;3.14;1.17;1.00;0.37;2.00;33.33;0.00;66.67;0.00;0.00;1.83;2.00;0.55;1.00;1.00;0.00;1.00;1.00;0.00;245.00;240.00;7.79;6.07;6.00;0.25;11.29;11.29;0.13;8.38;8.39;0.04;2.57;2.79;0.40;4.00;4.50;1.22;4.33;4.00;0.47
Landquart;L3;Hydropeaking;12.04.2022;X;;54.00;52.50;22.69;39.67;32.50;26.18;4.61;4.10;2.64;1.75;2.00;0.60;4.00;33.33;0.00;41.67;8.33;16.67;1.17;1.00;0.37;1.00;1.00;0.00;1.00;1.00;0.00;299.67;300.00;1.25;8.63;8.70;0.57;10.74;10.68;0.17;8.42;8.42;0.01;39.73;38.80;2.38;3.92;4.50;1.26;3.92;4.00;1.04
Landquart;L4;Hydropeaking;13.04.2022;X;;41.50;39.50;13.87;85.83;96.50;35.51;5.35;3.78;4.00;1.58;1.50;0.64;3.00;16.67;0.00;75.00;8.33;0.00;1.17;1.00;0.37;1.00;1.00;0.00;1.00;1.00;0.00;251.67;253.00;4.99;9.23;9.30;0.33;10.81;10.86;0.15;8.37;8.39;0.05;418.33;139.00;411.41;4.25;4.00;0.60;4.08;4.00;0.49
Plessur;PR;Residual flow;29.04.2022;X;X;28.92;26.00;9.70;34.25;28.50;22.25;2.07;2.00;1.12;1.75;2.00;0.43;3.00;8.33;0.00;66.67;25.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;315.33;316.00;2.49;6.07;6.40;1.09;10.26;10.26;0.24;8.52;8.53;0.05;1.23;1.10;0.32;4.08;4.50;0.95;3.83;4.00;0.55
Plessur;P1;Hydropeaking;29.04.2022;X;X;33.92;37.50;11.15;46.67;46.50;25.77;2.29;2.13;1.55;1.92;2.00;0.28;3.00;50.00;0.00;33.33;16.67;0.00;2.75;3.00;0.43;1.33;1.00;0.47;1.00;1.00;0.00;293.67;293.00;1.70;7.80;7.80;0.16;10.57;10.53;0.14;8.63;8.63;0.01;1.70;1.50;0.37;4.17;5.00;1.21;4.33;4.50;0.75
Plessur;P2;Hydropeaking;29.04.2022;X;;38.75;38.50;16.06;111.00;125.00;49.88;2.62;2.73;1.13;2.83;3.00;0.37;2.00;8.33;0.00;91.67;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;275.67;276.00;4.50;9.80;9.80;0.24;9.82;9.82;0.02;8.48;8.47;0.02;37.93;34.10;12.74;3.67;4.00;1.25;4.08;4.00;0.28
Plessur;P3;Hydropeaking;30.04.2022;X;;58.50;60.50;23.33;68.67;58.00;52.64;1.99;1.95;1.02;2.33;2.50;0.75;2.00;0.00;0.00;83.33;16.67;0.00;1.08;1.00;0.28;1.00;1.00;0.00;1.00;1.00;0.00;271.00;271.00;0.82;4.70;4.70;0.00;11.10;11.11;0.03;8.43;8.51;0.11;28.37;26.00;6.55;3.58;4.00;1.19;3.83;4.00;0.37
Verzasca;VE2;Natural/near-natural;03.04.2023;X;X;49.50;47.00;13.35;58.33;52.50;48.54;7.42;7.60;5.15;1.00;1.00;0.00;2.00;50.00;0.00;50.00;0.00;0.00;2.00;2.00;0.00;1.00;1.00;0.00;1.17;1.00;0.37;28.73;28.70;0.05;7.67;7.60;0.65;11.38;11.42;0.13;7.00;7.04;0.21;0.31;0.29;0.05;3.67;4.00;1.37;4.50;4.50;0.50
Verzasca;VE3;Natural/near-natural;03.04.2023;X;;42.42;42.00;14.45;62.75;52.00;38.83;4.80;4.85;3.00;1.00;1.00;0.00;2.00;41.67;0.00;58.33;0.00;0.00;2.00;2.00;0.00;1.00;1.00;0.00;1.08;1.00;0.28;29.00;29.00;0.00;9.93;10.00;0.57;10.54;10.56;0.10;7.17;7.17;0.01;0.26;0.28;0.05;4.67;5.00;0.62;4.42;4.00;0.49
Verzasca;VE4;Natural/near-natural;02.04.2023;X;X;37.67;32.00;20.17;49.42;30.00;50.63;4.20;3.75;2.64;1.00;1.00;0.00;2.00;41.67;0.00;58.33;0.00;0.00;2.08;2.00;0.28;1.00;1.00;0.00;1.33;1.00;0.47;29.43;29.30;0.34;10.40;10.40;0.49;10.45;10.49;0.08;7.41;7.34;0.25;0.44;0.41;0.04;3.25;3.00;1.36;4.42;4.00;0.49
Vorderrhein;VR1;Natural/near-natural;09.04.2023;X;X;53.17;49.00;23.14;69.00;70.50;43.76;7.34;6.65;5.91;2.58;3.00;0.64;2.00;16.67;0.00;83.33;0.00;0.00;1.08;1.00;0.28;1.00;1.00;0.00;1.00;1.00;0.00;326.67;331.00;7.59;5.60;5.50;0.14;11.70;11.71;0.12;8.24;8.27;0.06;3.39;3.37;0.40;3.83;4.00;1.21;4.17;4.00;0.37
Vorderrhein;VR2;Natural/near-natural;08.04.2023;X;;47.42;37.00;31.91;74.92;80.00;32.59;6.89;6.03;4.95;1.17;1.00;0.37;1.00;0.00;0.00;100.00;0.00;0.00;1.08;1.00;0.28;1.00;1.00;0.00;1.00;1.00;0.00;359.33;362.00;9.18;8.27;8.30;0.12;11.53;11.57;0.05;8.59;8.61;0.03;3.32;3.32;0.27;4.08;4.00;1.04;4.00;4.00;0.00
Vorderrhein;VR3;Natural/near-natural;07.04.2023;X;X;49.92;47.00;20.88;69.50;69.00;40.82;4.71;4.55;2.81;3.00;3.00;0.00;2.00;41.67;0.00;58.33;0.00;0.00;1.25;1.00;0.43;1.00;1.00;0.00;1.00;1.00;0.00;313.33;307.00;10.40;6.37;6.40;0.21;11.80;11.78;0.06;8.35;8.36;0.19;3.34;3.49;0.25;4.33;5.00;0.94;4.42;4.00;0.49
Vorderrhein;VR4;Natural/near-natural;07.04.2023;X;;56.58;57.00;27.75;49.42;53.50;34.16;3.12;2.38;2.46;3.00;3.00;0.00;2.00;25.00;0.00;75.00;0.00;0.00;1.50;1.50;0.50;1.00;1.00;0.00;1.00;1.00;0.00;244.00;244.00;0.00;7.43;7.40;0.12;11.34;11.31;0.04;8.51;8.49;0.04;2.62;2.62;0.12;4.17;5.00;1.21;4.25;4.00;0.43
Vorderrhein;VR5;Natural/near-natural;08.04.2023;X;;34.08;33.00;16.26;48.75;53.50;29.65;6.53;6.33;4.64;1.00;1.00;0.00;2.00;0.00;0.00;91.67;8.33;0.00;1.17;1.00;0.37;1.00;1.00;0.00;1.00;1.00;0.00;219.20;220.00;1.88;5.87;5.70;0.31;11.78;11.79;0.02;8.24;8.26;0.06;2.72;2.59;0.55;3.75;4.00;1.42;3.92;4.00;0.28
Vorderrhein;VR6;Residual flow;08.04.2023;X;X;38.33;36.00;20.71;44.67;31.50;36.14;5.08;3.75;4.66;1.08;1.00;0.28;2.00;41.67;0.00;58.33;0.00;0.00;1.17;1.00;0.37;1.00;1.00;0.00;1.08;1.00;0.28;219.67;219.60;0.25;6.33;6.30;0.29;11.52;11.55;0.11;8.32;8.30;0.02;2.34;2.02;0.49;3.92;4.50;1.44;4.42;4.00;0.49
Untere Glenner;GL1;Natural/near-natural;09.04.2023;X;X;37.00;38.00;7.08;104.17;105.00;52.75;2.83;2.70;1.90;2.00;2.00;0.00;2.00;25.00;0.00;75.00;0.00;0.00;1.17;1.00;0.37;1.00;1.00;0.00;1.00;1.00;0.00;488.67;489.00;0.47;7.17;7.00;0.46;11.71;11.46;0.37;8.40;8.41;0.02;6.44;6.33;1.13;3.83;4.00;0.99;4.25;4.00;0.43
Untere Glenner;GL2;Natural/near-natural;09.04.2023;X;X;29.08;23.00;16.75;68.83;68.50;39.04;3.39;3.20;2.33;2.00;2.00;0.00;2.00;8.33;0.00;91.67;0.00;0.00;1.08;1.00;0.28;1.00;1.00;0.00;1.17;1.00;0.37;483.67;483.00;0.94;8.97;9.00;0.21;10.67;10.66;0.07;8.43;8.41;0.04;5.70;5.64;0.24;4.08;4.00;1.11;4.08;4.00;0.28
Untere Glenner;GL3;Natural/near-natural;10.04.2023;X;;34.33;33.00;13.41;64.42;66.00;28.30;3.28;3.30;2.12;2.00;2.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.42;1.00;0.49;1.00;1.00;0.00;1.00;1.00;0.00;484.33;485.00;1.70;4.43;4.30;0.42;12.25;12.30;0.09;8.27;8.27;0.00;2.01;1.95;0.12;4.33;4.50;0.75;4.00;4.00;0.00
Untere Glenner;GL4;Natural/near-natural;10.04.2023;X;;41.25;41.50;11.88;61.58;54.00;38.49;3.47;3.18;2.23;2.00;2.00;0.41;2.00;0.00;0.00;83.33;16.67;0.00;1.58;2.00;0.49;1.00;1.00;0.00;1.00;1.00;0.00;472.33;472.00;0.47;3.27;3.30;0.05;12.51;12.52;0.01;8.33;8.33;0.03;2.35;2.31;0.56;4.25;5.00;1.01;3.83;4.00;0.37
Obere Glenner;GL5;Natural/near-natural;19.04.2023;X;X;37.17;34.50;15.57;65.25;63.00;40.48;2.70;2.85;1.48;2.00;2.00;0.58;4.00;16.67;0.00;66.67;8.33;8.33;1.25;1.00;0.43;1.00;1.00;0.00;1.00;1.00;0.00;382.67;384.00;2.62;4.67;4.40;0.60;11.26;11.30;0.10;8.44;8.44;0.01;1.59;1.59;0.18;4.33;5.00;1.03;3.92;4.00;0.76
Obere Glenner;GL6;Natural/near-natural;19.04.2023;X;;30.08;31.00;7.42;70.58;56.50;46.89;2.52;1.90;1.87;2.08;2.00;0.76;2.00;8.33;0.00;91.67;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;428.33;429.00;1.70;7.20;7.10;0.14;10.45;10.45;0.02;8.50;8.51;0.01;2.04;2.22;0.63;4.42;5.00;1.11;4.08;4.00;0.28
Sense;SE2;Natural/near-natural;22.04.2023;X;X;40.42;33.00;24.57;76.08;77.50;42.47;6.11;4.55;5.84;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;383.33;384.00;0.94;7.37;7.20;0.39;11.56;11.62;0.16;8.63;8.62;0.03;2.29;2.30;0.50;4.17;4.00;0.90;4.00;4.00;0.00
Sense;SE3;Natural/near-natural;22.04.2023;X;X;34.17;26.50;16.53;83.50;73.50;45.88;5.95;4.68;5.08;1.08;1.00;0.28;2.00;8.33;0.00;91.67;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;380.67;381.00;0.47;9.60;9.60;0.24;11.13;11.15;0.08;8.71;8.71;0.02;1.65;1.63;0.24;4.17;4.00;0.90;4.08;4.00;0.28
Thur;TH3;Natural/near-natural;27.04.2023;X;X;41.25;36.00;22.40;81.00;74.50;48.25;5.67;4.23;4.05;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;284.33;284.00;0.47;9.70;9.90;0.36;11.83;11.81;0.05;8.61;8.60;0.02;3.37;3.27;0.18;3.67;4.00;1.31;4.00;4.00;0.00
Thur;TH4;Natural/near-natural;27.04.2023;X;X;43.83;34.50;25.44;90.08;91.50;49.86;5.25;4.08;3.60;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;307.00;307.00;0.82;8.77;8.80;0.29;11.46;11.42;0.07;8.52;8.53;0.02;3.78;3.75;0.11;4.00;4.00;0.82;4.00;4.00;0.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
